run_id,domain_key,domain,min_rank,hit_count,queries,score,reason
20260312-102832,coastsystems.com,coastsystems.com,3,2,Mold risk prediction supplier -site:alibaba.com|Mold risk prediction manufacturer -site:alibaba.com,81,"排名靠前(+20); 多次命中(+5); 命中关键词: manufacturer, solution, system(+6)"
20260312-102832,sciencedirect.com,www.sciencedirect.com,1,3,Mold risk prediction mold growth forecast; mold hazard analysis -site:alibaba.com|mold growth forecast; mold hazard analysis supplier -site:alibaba.com,80,排名靠前(+20); 多次命中(+10)
20260312-102832,ecomonitoring.com,www.ecomonitoring.com,3,1,Humidity monitoring supplier -site:alibaba.com,74,"排名靠前(+20); 命中关键词: manufacturer, product(+4)"
20260312-102832,matix.cloud,www.matix.cloud,1,1,Mold risk prediction supplier -site:alibaba.com,72,排名靠前(+20); 命中关键词: system(+2)
20260312-102832,simform.app,simform.app,3,1,Mold risk prediction supplier -site:alibaba.com,72,排名靠前(+20); 命中关键词: product(+2)
20260312-102832,corbion.com,www.corbion.com,5,1,Mold risk prediction manufacturer -site:alibaba.com,72,排名靠前(+20); 命中关键词: solution(+2)
20260312-102832,mdpi.com,www.mdpi.com,3,1,Mold risk prediction mold growth forecast; mold hazard analysis -site:alibaba.com,70,排名靠前(+20)
20260312-102832,wufi.de,wufi.de,5,1,Mold risk prediction mold growth forecast; mold hazard analysis -site:alibaba.com,70,排名靠前(+20)
20260312-102832,ycm.group,ycm.group,5,1,Mold risk prediction supplier -site:alibaba.com,70,排名靠前(+20)
20260312-102832,igsgebojagema.nl,www.igsgebojagema.nl,1,1,Mold risk prediction manufacturer -site:alibaba.com,70,排名靠前(+20)
20260312-102832,marketreportsworld.com,www.marketreportsworld.com,1,1,mold growth forecast; mold hazard analysis supplier -site:alibaba.com,70,排名靠前(+20)
20260312-102832,coherentmarketinsights.com,www.coherentmarketinsights.com,5,1,mold growth forecast; mold hazard analysis supplier -site:alibaba.com,70,排名靠前(+20)
20260312-102832,dwyeromega.com,www.dwyeromega.com,1,1,Humidity monitoring supplier -site:alibaba.com,70,排名靠前(+20)
20260312-102832,veris.com,www.veris.com,5,1,Humidity monitoring supplier -site:alibaba.com,70,排名靠前(+20)
20260312-102832,worldwidequalitycontrol.com,worldwidequalitycontrol.com,7,2,Mold risk prediction supplier -site:alibaba.com|Mold risk prediction manufacturer -site:alibaba.com,67,排名靠前(+10); 多次命中(+5); 命中关键词: supplier(+2)
20260312-102832,instrumentchoice.com.au,www.instrumentchoice.com.au,15,2,Mold risk prediction supplier -site:alibaba.com|Mold risk prediction manufacturer -site:alibaba.com,64,"排名靠前(+5); 多次命中(+5); 命中关键词: smart, system(+4)"
20260312-102832,ist-ag.com,www.ist-ag.com,9,1,Humidity monitoring supplier -site:alibaba.com,64,"排名靠前(+10); 命中关键词: manufacturer, solution(+4)"
20260312-102832,dusuniot.com,www.dusuniot.com,11,1,Humidity monitoring supplier -site:alibaba.com,63,"排名靠前(+5); 命中关键词: smart, manufacturer, supplier(+8)"
20260312-102832,emoldino.com,emoldino.com,9,1,Mold risk prediction manufacturer -site:alibaba.com,62,排名靠前(+10); 命中关键词: manufacturer(+2)
20260312-102832,rikasensor.com,www.rikasensor.com,7,1,Humidity monitoring supplier -site:alibaba.com,62,排名靠前(+10); 命中关键词: supplier(+2)
20260312-102832,cometsystem.com,www.cometsystem.com,15,1,Humidity monitoring supplier -site:alibaba.com,61,"排名靠前(+5); 命中关键词: manufacturer, product, system(+6)"
20260312-102832,researchgate.net,www.researchgate.net,7,1,Mold risk prediction mold growth forecast; mold hazard analysis -site:alibaba.com,60,排名靠前(+10)
20260312-102832,palmbld.com,www.palmbld.com,9,1,Mold risk prediction mold growth forecast; mold hazard analysis -site:alibaba.com,60,排名靠前(+10)
20260312-102832,fibox.com,www.fibox.com,7,1,Mold risk prediction supplier -site:alibaba.com,60,排名靠前(+10)
20260312-102832,futuremarketinsights.com,www.futuremarketinsights.com,7,1,mold growth forecast; mold hazard analysis supplier -site:alibaba.com,60,排名靠前(+10)
20260312-102832,datainsightsmarket.com,www.datainsightsmarket.com,9,1,mold growth forecast; mold hazard analysis supplier -site:alibaba.com,60,排名靠前(+10)
20260312-102832,akcp.com,www.akcp.com,13,1,Humidity monitoring supplier -site:alibaba.com,59,"排名靠前(+5); 命中关键词: wireless, solution(+4)"
20260312-102832,altayplastik.com,www.altayplastik.com,11,1,Mold risk prediction supplier -site:alibaba.com,57,排名靠前(+5); 命中关键词: product(+2)
20260312-102832,ctcgroupe.com,www.ctcgroupe.com,13,1,Mold risk prediction supplier -site:alibaba.com,57,排名靠前(+5); 命中关键词: product(+2)
20260312-102832,g2ci.com,www.g2ci.com,11,1,Mold risk prediction manufacturer -site:alibaba.com,57,排名靠前(+5); 命中关键词: industrial(+2)
20260312-102832,vikinganalytics.se,www.vikinganalytics.se,13,1,Mold risk prediction manufacturer -site:alibaba.com,57,排名靠前(+5); 命中关键词: solution(+2)
20260312-102832,reanin.com,www.reanin.com,13,1,mold growth forecast; mold hazard analysis supplier -site:alibaba.com,57,排名靠前(+5); 命中关键词: industrial(+2)
20260312-102832,health.wa.gov.au,www.health.wa.gov.au,11,1,Mold risk prediction mold growth forecast; mold hazard analysis -site:alibaba.com,55,排名靠前(+5)
20260312-102832,jsheld.com,www.jsheld.com,13,1,Mold risk prediction mold growth forecast; mold hazard analysis -site:alibaba.com,55,排名靠前(+5)
20260312-102832,researchandmarkets.com,www.researchandmarkets.com,11,1,mold growth forecast; mold hazard analysis supplier -site:alibaba.com,55,排名靠前(+5)
20260312-102832,dataintelo.com,dataintelo.com,15,1,mold growth forecast; mold hazard analysis supplier -site:alibaba.com,55,排名靠前(+5)
20260312-102832,todaysmedicaldevelopments.com,www.todaysmedicaldevelopments.com,17,1,Mold risk prediction manufacturer -site:alibaba.com,54,"命中关键词: manufacturer, supplier(+4)"
20260312-102832,fishersci.com,www.fishersci.com,17,1,Humidity monitoring supplier -site:alibaba.com,54,"命中关键词: supplier, product(+4)"
20260312-102832,humiditycontrol.com,humiditycontrol.com,19,1,Humidity monitoring supplier -site:alibaba.com,54,"命中关键词: manufacturer, product(+4)"
20260312-102832,milfordct.us,www.milfordct.us,19,1,Mold risk prediction mold growth forecast; mold hazard analysis -site:alibaba.com,52,命中关键词: industrial(+2)
20260312-102832,moldtechnologyeg.com,moldtechnologyeg.com,19,1,Mold risk prediction manufacturer -site:alibaba.com,52,命中关键词: manufacturer(+2)
20260312-102832,ncceh.ca,ncceh.ca,17,1,Mold risk prediction mold growth forecast; mold hazard analysis -site:alibaba.com,50,基础评分
20260312-102832,esox-plast.sk,www.esox-plast.sk,19,1,Mold risk prediction supplier -site:alibaba.com,50,基础评分
20260312-102832,linkedin.com,www.linkedin.com,17,1,mold growth forecast; mold hazard analysis supplier -site:alibaba.com,50,基础评分
20260312-102832,grandviewresearch.com,www.grandviewresearch.com,19,1,mold growth forecast; mold hazard analysis supplier -site:alibaba.com,50,基础评分